Marca;;#;;Codigo;;Reff;;Descripcion;;Inv;;Foto
SIDERURGICO;;91;;1121015;;MRR27366;;LAMINA MILTEJAS 4 MTS ROJO VENCOR;;28;;
SIDERURGICO;;92;;1126015;;null;;LAMINA P/SANTA MARIA DE HIERRO 110X0.60X6.10MTS;;210;;
SIDERURGICO;;93;;1126010;;null;;LAMINA P/SANTA MARIA DE HIERRO 110X0.70X6.10MTS;;275;;
SIDERURGICO;;94;;1126011;;null;;LAMINA P/SANTA MARIA DE HIERRO CANAL ANCHO 110X0.70X6.10MTS;;66;;
SIDERURGICO;;95;;1126014;;null;;LAMINA P/SANTA MARIA GALVANIZADA 110X0.70X6.10MTS;;96;;
SIDERURGICO;;96;;1126012;;PERFSANTLISO;;LAMINA P/SANTA MARIA LISA GALV 110X0.70X6MTS;;25;;
SIDERURGICO;;97;;1126013;;PERFSANTPERF;;LAMINA P/SANTA MARIA MICROPERFORADO GALV 110X0.70X6MTS;;74;;
SIDERURGICO;;98;;1126009;;00001135;;LAMINA P/SANTA MARIA PLANA DE HIERRO 60X0.70X6MTS.;;62;;
SIDERURGICO;;99;;1121051;;null;;LAMINA P/TECHO AZUL 0.30X1.05X6MTS;;100;;
SIDERURGICO;;100;;1121050;;null;;LAMINA P/TECHO NATURAL 0.30X1.05X6MTS;;119;;
SIDERURGICO;;101;;1121052;;null;;LAMINA P/TECHO ROJO 0.30X1.05X6MTS;;50;;
SIDERURGICO;;102;;1121030;;null;;LAMINA POLIPROPILENO ONDULADO VERDE 3.66MTS TECHOLIT;;1;;
SIDERURGICO;;103;;1121059;;10131001E;;LAMINA TRASLUCIDA ACANALADA 1.00X830X6.00MTS;;20;;
SIDERURGICO;;104;;1121053;;10131000E;;LAMINA TRASLUCIDA ONDULADA 1.00X1050X3.66MTS;;12;;
SIDERURGICO;;105;;1121046;;null;;LAMINA ZINC ONDULADO 0.16X800X2.44MTS (8 PIES);;14;;
SIDERURGICO;;106;;1121019;;null;;LAMINA ZINC ONDULADO 0.17X800X3.66MTS (12 PIES);;977;;
SIDERURGICO;;107;;1121040;;30265;;LAMINA ZINC ONDULADO 0.17X820X3.60MTS (12 PIES);;2;;
SIDERURGICO;;108;;1121026;;10111049;;LAMINA ZINC ONDULADO 0.17X830X3.05MTS (10 PIES);;1;;
SIDERURGICO;;109;;1121048;;null;;LAMINA ZINC ONDULADO 0.20X800X3.66MTS (12 PIES) IMPORT;;725;;
SIDERURGICO;;110;;1121005;;null;;LAMINA ZINC ONDULADO 0.26X800X3.05MTS (10 PIES);;1;;
SIDERURGICO;;111;;1121027;;10111031;;LAMINA ZINC ONDULADO 0.30X830X3.66MTS (12 PIES);;1;;
SIDERURGICO;;112;;1121061;;null;;LAMINA ZINC ONDULADO AZUL 0.20X810X3.66MTS (12 PIES);;839;;
SIDERURGICO;;113;;1121045;;null;;LAMINA ZINC ONDULADO AZUL 0.25X810X3.66MTS (12 PIES);;176;;
SIDERURGICO;;114;;1121062;;null;;LAMINA ZINC ONDULADO ECO 0.14X810X3.66MTS (12 PIES);;298;;
SIDERURGICO;;115;;1121001;;10115018;;LAMINA ZINC ONDULADO GALVALUME 0.17X800X2.44MTS (8 PIES);;8;;
